Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio
1741808698,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,0
1741808700,0,0,0,4.245,0,7.08,0,0,0,0,0,0,20.8,0,0,0,0,0,0
1741808701,0,0,0,4.488,0,7.08,0,0,0,0,0,0,20.8,0,0,0,0,0,0
1741808702,4.046284268292682,0.5377121951219512,0,4.488,0,10.9,0,0,0,584,200,0,20.4,0,0,0,0,0,0
1741808703,4.315140365853658,0.5377121951219512,0.013442804878048779,4.777,0,15.96,0,0,0,424,200,0,21.4,0,0,0,0,0,0
1741808704,4.637767682926829,0.5377121951219512,0.013442804878048779,5.132,0,22.13,0,0,0,424,200,8.5,21,0,0,0,0,0,5.5209145232527925
1741808705,4.637767682926829,0.5377121951219512,0.013442804878048779,5.458,0,28.6,0,0,0,424,200,8.5,21.2,0,0,0,0,0,5.191156711860266
1741808706,5.430893170731707,0.5377121951219512,0.1344280487804878,5.766,0,35.43,0,0,0,260,200,8.5,21,0,0,0,0,0,4.91386287432073
1741808707,5.713192073170731,0.5377121951219512,0.3360701219512195,5.925,0,42.35,0,0,0,174,200,8.5,20.8,0,0,0,0,0,4.781997187060478
1741808708,5.713192073170731,0.5377121951219512,0.3360701219512195,5.972,0,49.3,0,0,0,174,200,8.5,20.8,0,0,0,0,0,4.7443625809332435
1741808709,6.318118292682926,0.5377121951219512,0.4570553658536585,5.934,0,56.15,0,0,0,174,200,8.5,20.8,0,0,0,0,0,4.774744410740366
1741808710,6.3987751219512194,0.5377121951219512,0.5242693902439024,5.897,0,62.68,0,0,0,174,200,8.5,20.8,0,0,0,0,0,4.804702956305467
1741808711,6.3987751219512194,0.5377121951219512,0.5242693902439024,5.953,0,68.74,0,0,0,174,200,8.5,21,0,0,0,0,0,4.759505011478806
1741808712,6.3987751219512194,0.5377121951219512,0.4839409756097561,5.897,0,74.85,0,0,0,172,200,8.5,21,0,0,0,0,0,4.804702956305467
1741808713,6.17024743902439,0.5377121951219512,0.36295573170731704,5.832,0,80.82,0,0,0,174,200,8.5,21.2,0,0,0,0,0,4.858253315043438
1741808714,6.224018658536585,1.0619815853658536,0.36295573170731704,5.869,0,86.68,0,10.375,0.1394691006097561,174,190,7.25,21.2,0,0,0,0,0,3.911793112006777
1741808715,6.224018658536585,1.0619815853658536,0.3763985365853658,5.832,0,92.98,0,10.375,0.1394691006097561,174,190,7.25,21.2,0,0,0,0,0,3.936623083271795
1741808716,6.17024743902439,1.0619815853658536,0.36295573170731704,5.785,0,99.26,0,10.25,0.13778875,176,188,7.25,21,0,0,0,0,0,3.9268150009749334
1741808717,6.156804634146341,1.0754243902439025,0.36295573170731704,5.71,0,105.36,0,10.375,0.1394691006097561,176,188,7.375,21,0,0,0,0,0,4.046994523524699
1741808718,6.156804634146341,1.0754243902439025,0.40328414634146337,5.682,0,111.73,0,10.375,0.1394691006097561,178,188,7.375,21,0,0,0,0,0,4.066946068159259
1741808719,6.008933780487804,1.0754243902439025,0.3226273170731707,5.636,0,118.17,0,10.375,0.1394691006097561,178,188,7.5,21.2,0,0,0,0,0,4.169631738124888
1741808720,5.995490975609756,1.0754243902439025,0.30918451219512194,5.645,0,124.43,0,10.5,0.1411494512195122,178,186,7.625,21.2,0,0,0,0,0,4.187328731390413
1741808721,5.995490975609756,1.0754243902439025,0.30918451219512194,5.552,0,130.07001,0,10.5,0.1411494512195122,178,186,7.625,21.4,0,0,0,0,0,4.257469416014786
1741808722,5.9282769512195115,1.0754243902439025,0.30918451219512194,5.552,0,135.82001,0,10.5,0.1411494512195122,178,186,7.625,21.4,0,0,0,0,0,4.257469416014786
1741808723,5.874505731707317,1.088867195121951,0.2822989024390244,5.561,0,141.45,0,10.625,0.14282980182926827,180,184,7.75,21.4,0,0,0,0,0,4.273810639858385
1741808724,5.874505731707317,1.088867195121951,0.2822989024390244,5.496,0,147.57001,0,10.5,0.1411494512195122,180,184,7.625,21.6,0,0,0,0,0,4.254618702466842
1741808725,5.874505731707317,1.088867195121951,0.3360701219512195,5.496,0,153.45,0,10.5,0.1411494512195122,182,184,7.625,21.4,0,0,0,0,0,4.254618702466842
1741808726,5.887948536585365,1.088867195121951,0.30918451219512194,5.552,0,159.41,0,10.375,0.1394691006097561,182,184,7.75,21.4,0,0,0,0,0,4.280750981810951
1741808727,5.887948536585365,1.088867195121951,0.30918451219512194,5.57,0,165.23,0,10,0.1344280487804878,182,184,7.625,21.2,0,0,0,0,0,4.198095028354347
1741808728,5.887948536585365,1.088867195121951,0.30918451219512194,5.561,0,170.95,0,10,0.1344280487804878,182,184,7.625,21.2,0,0,0,0,0,4.20487821018325
1741808729,5.874505731707317,1.088867195121951,0.30918451219512194,5.57,0,176.92999,0,10,0.1344280487804878,182,182,7.875,21.2,0,0,0,0,0,4.288608367006851
1741808730,5.847620121951219,1.088867195121951,0.30918451219512194,5.561,0,182.67,0,10.125,0.13610839939024388,182,182,7.875,21.2,0,0,0,0,0,4.29553264604811
1741808731,5.820734512195122,1.088867195121951,0.30918451219512194,5.514,0,188.42,0,10.125,0.13610839939024388,182,182,7.875,21,0,0,0,0,0,4.332159753548245
1741808732,5.820734512195122,1.088867195121951,0.2822989024390244,5.449,0,194.03999,0,10.125,0.13610839939024388,184,182,7.875,21.2,0,0,0,0,0,4.383840745503432
1741808733,5.83417731707317,1.10231,0.2822989024390244,5.449,0,199.74001,0,10.25,0.13778875,184,180,8.125,21.2,0,0,0,0,0,4.473306062224376
1741808734,5.820734512195122,1.10231,0.2822989024390244,5.458,0,205.44,0,10.25,0.13778875,184,180,8.125,21.2,0,0,0,0,0,4.46592976535318
1741808735,5.820734512195122,1.1157528048780487,0.2822989024390244,5.412,0,211.13,0,10.25,0.13778875,184,180,8.125,21.4,0,0,0,0,0,4.503880266075388
1741808736,5.740077682926829,1.1157528048780487,0.2822989024390244,5.393,0,216.31,0,10.25,0.13778875,184,180,8.125,21.4,0,0,0,0,0,4.519739440497978
1741808737,5.51155,1.1157528048780487,0.2822989024390244,5.235,0,220.75999,0,10.125,0.13610839939024388,184,180,8.125,21.6,0,0,0,0,0,4.656160458452722
1741808738,5.1620370731707315,1.1157528048780487,0.2822989024390244,4.871,0,224.78,0,10.125,0.13610839939024388,184,180,8.125,21.6,0,0,0,0,0,5.004095659832355
1741808739,5.1620370731707315,1.1157528048780487,0.2822989024390244,4.432,0,228.33,0,9.875,0.1327476981707317,184,180,8.125,21.8,0,0,0,0,0,5.499786777497241
1741808740,4.30169756097561,1.1157528048780487,0.2822989024390244,3.984,0,231.56,0,9.5,0.1277066463414634,184,166,8.125,21.8,0,0,0,0,0,5.642361111111112
1741808741,3.8043137804878047,1.1157528048780487,0.12098524390243902,3.154,0,237.78999,0,9.5,0.1277066463414634,232,166,8.125,21.8,0,0,0,0,0,7.127192982456141
1741808742,3.4548008536585364,1.10231,0.04032841463414634,2.967,0,237.78999,0,9.625,0.1293869969512195,264,166,8.125,22,0,0,0,0,0,7.576393357018304
1741808743,3.226273170731707,1.088867195121951,0.04032841463414634,2.967,0,240.88,0,9.75,0.1310673475609756,264,166,7.625,22,0,0,0,0,0,7.110153765817177
1741808744,3.132173536585366,1.088867195121951,0.04032841463414634,2.865,0,244,0,9.75,0.1310673475609756,264,166,7.625,21.8,0,0,0,0,0,7.3633080325240945
1741808745,3.0246310975609756,1.088867195121951,0,2.809,0,247.16,0,9.75,0.1310673475609756,282,166,7.625,21.8,0,0,0,0,0,7.510095538264552
1741808746,3.0246310975609756,1.088867195121951,0,2.799,0,250.17999,0,9.75,0.1310673475609756,282,166,7.625,21.8,0,0,0,0,0,7.5368937125008655
1741808747,2.984302682926829,1.088867195121951,0,2.809,0,253.36,0,9.75,0.1310673475609756,286,166,7.625,21.8,0,0,0,0,0,7.510095538264552
1741808748,2.984302682926829,1.088867195121951,0,2.827,0,256.45001,0,9.75,0.1310673475609756,286,166,7.625,21.8,0,0,0,0,0,7.462248363198637
1741808749,2.984302682926829,1.088867195121951,0,2.818,0,259.59,0,9.75,0.1310673475609756,286,166,7.625,21.6,0,0,0,0,0,7.4861322468214615
1741808750,2.9708598780487803,1.088867195121951,0,2.809,0,262.70001,0,9.75,0.1310673475609756,286,166,7.625,21.6,0,0,0,0,0,7.510095538264552
1741808751,2.984302682926829,1.088867195121951,0,2.827,0,265.98001,0,9.75,0.1310673475609756,286,166,7.625,21.6,0,0,0,0,0,7.462248363198637
1741808752,3.0111882926829265,0.9544391463414633,0,2.855,0,269.23001,0,9.5,0.1277066463414634,286,166,6.875,21.6,0,0,0,0,0,6.662273603829717
1741808753,3.0111882926829265,0.9544391463414633,0,2.855,0,272.28,0,9.5,0.1277066463414634,284,166,6.875,21.6,0,0,0,0,0,6.662273603829717
